"Date","SQQQ.Open","SQQQ.High","SQQQ.Low","SQQQ.Close","SQQQ.Volume","SQQQ.Adjusted"
2021-06-25,236.75,240.25,236.25,238.5,2367556,212.440765380859
2021-06-28,236.25,236.25,229.75,230,2396108,204.869491577148
2021-06-29,230.5,232.25,227.5,227.5,2068804,202.642654418945
2021-06-30,228,229.75,227.25,228.5,1809556,203.533386230469
2021-07-01,229.5,232,227.5,228.5,1873372,203.533386230469
2021-07-02,224.75,225.25,220,220.5,2263404,196.407501220703
2021-07-06,219.25,224.5,217,218,3761200,194.1806640625
2021-07-07,213.5,220,213,216.25,3978756,192.621856689453
2021-07-08,225.5,228,218.5,220.25,4410368,196.184814453125
2021-07-09,221.5,222.5,215.25,216,2580784,192.399185180664
2021-07-12,213.25,216.5,212.75,213.75,2094824,190.395004272461
2021-07-13,214.25,215,208,213.75,4161372,190.395004272461
2021-07-14,209.25,214,208,212.5,3883128,189.281600952148
2021-07-15,212.5,220.5,212.25,216.75,4504420,193.067199707031
2021-07-16,215,222.75,213.5,222,3304720,197.743591308594
2021-07-19,228.75,232.5,226.5,227.5,5344548,202.642654418945
2021-07-20,225.5,229.25,216.75,219.75,3698524,195.73942565918
2021-07-21,220.5,220.75,214.5,214.5,2275708,191.063049316406
2021-07-22,214.25,214.25,210,210,2474892,187.054748535156
2021-07-23,207.75,210,202.25,203,3433376,180.819610595703
2021-07-26,204,205.5,201.75,202.5,2352620,180.374221801758
2021-07-27,202.75,216.25,202.75,209,5034244,186.164031982422
2021-07-28,207.25,211,203.75,206.5,4180028,183.93717956543
2021-07-29,207.5,207.5,203.5,205.25,2576224,182.823760986328
2021-07-30,212.25,212.5,207.75,208.5,3202344,185.718658447266
2021-08-02,205.75,209.75,204.75,208.5,2880688,185.718658447266
2021-08-03,207.5,213.25,204.75,204.75,3286728,182.378372192383
2021-08-04,205,206.75,202.25,203.75,2792828,181.487640380859
2021-08-05,202.75,203.75,199.75,200,2174640,178.147399902344
2021-08-06,202,204.5,200.5,202.5,2691004,180.374221801758
2021-08-09,201.75,203.75,200.75,201.75,2661640,179.706161499023
2021-08-10,200.75,206.75,200.25,204.75,3129292,182.378372192383
2021-08-11,202.5,208,201.5,205.5,3130128,183.046417236328
2021-08-12,206.5,209,202.75,203.25,2287328,181.042266845703
2021-08-13,203,203.75,200.75,201.25,1836604,179.260803222656
2021-08-16,203.25,209.75,201,201,3671864,179.038116455078
2021-08-17,205.5,210.5,204,206.5,5813920,183.93717956543
2021-08-18,207.5,213,204.75,212.5,4654996,189.281600952148
2021-08-19,216,216.25,206.25,209,5269816,186.164031982422
2021-08-20,207.5,208,202,202.5,3608136,180.374221801758
2021-08-23,200.75,201,192.5,193.5,3660724,172.357604980469
2021-08-24,192.5,193.5,190.75,191.75,2419520,170.798797607422
2021-08-25,191.5,192.75,190.25,191.5,2483336,170.576110839844
